slot_no	id	group_id	group_name	name	status	json_created	photo_placed	source_checked	reviewed	source_page	notes
1	hr-0091	g03-proportional	比例代表型	小竹凱	verified	yes	yes	yes	yes	20	小竹凱。sourcePage 20。career と UI 確認完了。
2	hr-0092	g01-single-basic	小選挙区基本型	小田原潔	verified	yes	yes	yes	yes	20	小田原潔。sourcePage 20。career と UI 確認完了。
3	hr-0093	g03-proportional	比例代表型	落合貴之	verified	yes	yes	yes	yes	20	落合貴之。sourcePage 20。career と UI 確認完了。
4	hr-0094	g01-single-basic	小選挙区基本型	尾崎正直	verified	yes	yes	yes	yes	20	尾崎正直。sourcePage 20。career と UI 確認完了。
5	hr-0095	g03-proportional	比例代表型	長田紘一郎	verified	yes	yes	yes	yes	20	長田紘一郎。sourcePage 20。career と UI 確認完了。
6	hr-0096	g03-proportional	比例代表型	小里泰弘	verified	yes	yes	yes	yes	20	小里泰弘。sourcePage 20。career と UI 確認完了。
7	hr-0097	g01-single-basic	小選挙区基本型	小渕優子	verified	yes	yes	yes	yes	21	小渕優子。sourcePage 21。career と UI 確認完了。
8	hr-0098	g03-proportional	比例代表型	尾身朝子	verified	yes	yes	yes	yes	21	尾身朝子。sourcePage 21。career と UI 確認完了。
9	hr-0099	g03-proportional	比例代表型	河西宏一	verified	yes	yes	yes	yes	21	河西宏一。sourcePage 21。career と UI 確認完了。
10	hr-0100	g01-single-basic	小選挙区基本型	鬼木誠	verified	yes	yes	yes	yes	21	鬼木誠。sourcePage 21。career と UI 確認完了。
11	hr-0101	g01-single-basic	小選挙区基本型	小野寺五典	verified	yes	yes	yes	yes	21	小野寺五典。sourcePage 21。career と UI 確認完了。
12	hr-0102	g01-single-basic	小選挙区基本型	尾花瑛仁	verified	yes	yes	yes	yes	21	尾花瑛仁。sourcePage 21。career と UI 確認完了。
13	hr-0103	g01-single-basic	小選挙区基本型	勝俣孝明	verified	yes	yes	yes	yes	22	勝俣孝明。sourcePage 22。career と UI 確認完了。
14	hr-0104	g01-single-basic	小選挙区基本型	勝目康	verified	yes	yes	yes	yes	22	勝目康。sourcePage 22。career と UI 確認完了。
15	hr-0105	g01-single-basic	小選挙区基本型	門寛子	verified	yes	yes	yes	yes	22	門寛子。sourcePage 22。career と UI 確認完了。
16	hr-0106	g01-single-basic	小選挙区基本型	鹿嶋祐介	verified	yes	yes	yes	yes	22	鹿嶋祐介。sourcePage 22。career と UI 確認完了。
17	hr-0107	g01-single-basic	小選挙区基本型	梶山弘志	verified	yes	yes	yes	yes	22	梶山弘志。sourcePage 22。career と UI 確認完了。
18	hr-0108	g03-proportional	比例代表型	柏倉祐司	verified	yes	yes	yes	yes	22	柏倉祐司。sourcePage 22。career と UI 確認完了。
19	hr-0109	g01-single-basic	小選挙区基本型	加藤大博	verified	yes	yes	yes	yes	23	加藤大博。sourcePage 23。career と UI 確認完了。
20	hr-0110	g01-single-basic	小選挙区基本型	加藤竜祥	verified	yes	yes	yes	yes	23	加藤竜祥。sourcePage 23。career と UI 確認完了。
21	hr-0111	g01-single-basic	小選挙区基本型	門山宏哲	verified	yes	yes	yes	yes	23	門山宏哲。sourcePage 23。career と UI 確認完了。
22	hr-0112	g01-single-basic	小選挙区基本型	加藤鮎子	verified	yes	yes	yes	yes	23	加藤鮎子。sourcePage 23。career と UI 確認完了。
23	hr-0113	g01-single-basic	小選挙区基本型	加藤勝信	verified	yes	yes	yes	yes	23	加藤勝信。sourcePage 23。career と UI 確認完了。
24	hr-0114	g01-single-basic	小選挙区基本型	加藤貴弘	verified	yes	yes	yes	yes	23	加藤貴弘。sourcePage 23。career と UI 確認完了。
25	hr-0115	g01-single-basic	小選挙区基本型	金子容三	verified	yes	yes	yes	yes	24	金子容三。sourcePage 24。career と UI 確認完了。
