slot_no	id	group_id	group_name	name	status	json_created	photo_placed	source_checked	reviewed	source_page	notes
1	hr-0266	g03-proportional	比例代表型	中川貴元	verified	yes	yes	yes	yes	50	中川貴元。sourcePage 50。career と UI 確認完了。
2	hr-0267	g03-proportional	比例代表型	中川宏昌	verified	yes	yes	yes	yes	50	中川宏昌。sourcePage 50。career と UI 確認完了。
3	hr-0268	g03-proportional	比例代表型	中川康洋	verified	yes	yes	yes	yes	50	中川康洋。sourcePage 50。career と UI 確認完了。
4	hr-0269	g03-proportional	比例代表型	豊田真由子	verified	yes	yes	yes	yes	50	豊田真由子。sourcePage 50。career と UI 確認完了。
5	hr-0270	g03-proportional	比例代表型	永岡桂子	verified	yes	yes	yes	yes	50	永岡桂子。sourcePage 50。career と UI 確認完了。
6	hr-0271	g01-single-basic	小選挙区基本型	中川紘一	verified	yes	yes	yes	yes	50	中川紘一。sourcePage 50。career と UI 確認完了。
7	hr-0272	g01-single-basic	小選挙区基本型	中曽根康隆	verified	yes	yes	yes	yes	51	中曽根康隆。sourcePage 51。career と UI 確認完了。
8	hr-0273	g03-proportional	比例代表型	中田宏	verified	yes	yes	yes	yes	51	中田宏。sourcePage 51。career と UI 確認完了。
9	hr-0274	g01-single-basic	小選挙区基本型	永田磨梨奈	verified	yes	yes	yes	yes	51	永田磨梨奈。sourcePage 51。career と UI 確認完了。
10	hr-0275	g01-single-basic	小選挙区基本型	長坂康正	verified	yes	yes	yes	yes	51	長坂康正。sourcePage 51。career と UI 確認完了。
11	hr-0276	g01-single-basic	小選挙区基本型	長沢興祐	verified	yes	yes	yes	yes	51	長沢興祐。sourcePage 51。career と UI 確認完了。
12	hr-0277	g01-single-basic	小選挙区基本型	長島昭久	verified	yes	yes	yes	yes	51	長島昭久。sourcePage 51。career と UI 確認完了。
13	hr-0278	g03-proportional	比例代表型	長妻昭	verified	yes	yes	yes	yes	52	長妻昭。sourcePage 52。career と UI 確認完了。
14	hr-0279	g01-single-basic	小選挙区基本型	長友慎治	verified	yes	yes	yes	yes	52	長友慎治。sourcePage 52。career と UI 確認完了。
15	hr-0280	g01-single-basic	小選挙区基本型	中西健治	verified	yes	yes	yes	yes	52	中西健治。sourcePage 52。career と UI 確認完了。
16	hr-0281	g01-single-basic	小選挙区基本型	中谷元	verified	yes	yes	yes	yes	52	中谷元。sourcePage 52。career と UI 確認完了。
17	hr-0282	g01-single-basic	小選挙区基本型	中谷真一	verified	yes	yes	yes	yes	52	中谷真一。sourcePage 52。career と UI 確認完了。
18	hr-0283	g01-single-basic	小選挙区基本型	中司宏	verified	yes	yes	yes	yes	52	中司宏。sourcePage 52。career と UI 確認完了。
19	hr-0284	g03-proportional	比例代表型	中野洋昌	verified	yes	yes	yes	yes	53	中野洋昌。sourcePage 53。career と UI 確認完了。
20	hr-0285	g01-single-basic	小選挙区基本型	中村勇太	verified	yes	yes	yes	yes	53	中村勇太。sourcePage 53。career と UI 確認完了。
21	hr-0286	g01-single-basic	小選挙区基本型	中村裕之	verified	yes	yes	yes	yes	53	中村裕之。sourcePage 53。career と UI 確認完了。
22	hr-0287	g03-proportional	比例代表型	中根一幸	verified	yes	yes	yes	yes	53	中根一幸。sourcePage 53。career と UI 確認完了。
23	hr-0288	g03-proportional	比例代表型	長野春信	verified	yes	yes	yes	yes	53	長野春信。sourcePage 53。career と UI 確認完了。
24	hr-0289	g01-single-basic	小選挙区基本型	中野英幸	verified	yes	yes	yes	yes	53	中野英幸。sourcePage 53。career と UI 確認完了。
25	hr-0290	g03-proportional	比例代表型	鍋島勢理	verified	yes	yes	yes	yes	54	鍋島勢理。sourcePage 54。career と UI 確認完了。
